Alja Adam ;1976;
Fran Albreht ;1889;1965
Ivan Albreht ;1893;1955
Vera Albreht ;1895;1971
Jakob Alešovec ;1842;1901
Miha Andreaš ;1762;1821
Majda Artaè Sturman ;1953;
Anton Aškerc ;1856;1912
Imre Augustiè ;1837;1879
Miha Avanzo ;1949;
Esad Babaèiæ ;1965;
Otto František Babler ;1901;1984
Mihael Bakoš ;1742;1804
France Balantiè ;1921;1943
Štefan Baler ;1760;1835
David Bandelj ;1978;
Mihael Barla ;1778;1824
Milena Batiè ;1930;2014
David Bedraè ;1978;
Joža Bekš ;1883;1961
Vinko Belièiè ;1913;1999
Lajos Bence ;1956;
Filibert Benedetiè ;1935;2005
Ciril Bergles ;1934;2013
Blaž Berke ;;1821
Nejc Bernard ;1970;
Janez Bernik ;1933;2016
France Bevk ;1890;1970
Mihael Bertalanitš ;1786;1853
Janez Bilc ;1839;1906
Irena Birsa ;1961;1991
Nevin Birsa ;1947;2003
Bojan Bizjak ;1959;
Mateja Bizjak Petit ;1969;
Igor Bizjan ;1958;
Andrej Blatnik ;1963;
Berta Bojetu ;1946;1997
Adam Bokany ;;1714
Marcela Bole ;1914;2006
"Matej Bor ""Vladimir Pavšiè""";1913;1993
Rado Bordon ;1915;1992
Andreja Borin ;1969;
Marija Brenèiè-Jelen ;1919;2000
Tomaž Brenk ;1957;2004
Vida Brest ;1925;1985
Danilo Brešèak ;1911;1960
Ivo Brnèiæ ;1912;1943
Niko Brumen ;1943;
Andrej Brvar ;1945;
Matej Brvar;;
Ivo Ivanoviè Buèar ;1856;1907
Andrej Budal ;1889;1972
Elza Budau ;1941;
Mihael Bulovec ;1862;1915
Ivan Cankar ;1876;1918
Andrej Capuder ;1942;2018
France Cegnar ;1826;1892
Urška Cerar ;1984;
Janez Cigler ;1792;1869
Ivan Cimerman ;1938;
Franc Cimperman ;1852;1873
Josip Cimperman ;1847;1893
Sekumady Conde ;1980;
Valentin Cundriè ;1938;
Ivan Èampa ;1914;1942
Janko Èar ;1932;2017
Albin Èebular ;1900;1952
Anica Èernej ;1900;1944
Franc Èernigoj ;1948;
Jožica Èertov ;1960;
Ivan Èrniè ;1960;
Primož Èuènik ;1971;
Marjan Èufer ;1954;
Marij Èuk ;1952;
Aleš Debeljak ;1961;2016
Anton Debeljak ;1887;1952
Tine Debeljak ;1903;1989
Tine Debeljak ;1936;2013
Dane Debiè ;1917;2008
Milan Dekleva ;1946;
Boštjan Dermol ;1976;
Karel Destovnik Kajuh ;1922;1944
Lev Detela ;1939;
Jure Detela ;1951;1992
Feliks Dev ;1732;1786
Veronika Dintinjana ;1977;
Ivan Dobnik ;1960;
Tihomila Dobravc ;1920;
Tone Dodlek ;1943;
Jaro Dolar ;1911;1999
Vincencij Dolinar ;1925;1945
Mihael Domjan ;;1737
Ivan Dornik ;1892;1968
Ciril Drekonja ;1896;1944
Miriam Drev ;1957;
Jože Dular ;1915;2000
Fran Eller ;1873;1956
Anton Erjavec ;1887;1910
Adam Farkaš ;1730;1786
Bogomil Fatur ;1914;1990
Lea Fatur ;1875;1943
Jože Felc ;1941;2010
Janko Ferk ;1958;
Slavko Fidler ;1928;2012
France Filipiè ;1919;2009
Božidar Flegeriè ;1841;1907
Evald Flisar ;1945;
Janoš Flisar ;1856;1947
Nino Flisar ;1975;
France Forstneriè ;1933;2007
Franjo Franèiè ;1958;
Josip Freuensfeld ;1861;1893
Ervin Fritz ;1940;
Anton Funtek ;1862;1932
Ivo Frbežar ;1949;
Lidija Gaènik Gombaè ;1961;
Vladimir Gajšek ;1946;
Engelbert Gangl ;1873;1950
Iztok Geister-Plamen ;1945;
Herman Germ ;1931;
Fran Gestrin ;1865;1893
Alenka Glazer ;1926;
Janko Glazer ;1893;1975
Goran Gluviæ ;1957;
Matjaž Godina ;1768;1835
Cvetko Golar ;1879;1965
Manko Golar ;1911;1988
Lidija Golc ;1955;
Sonja Golec ;1929;2009
Pavel Golia ;1887;1959
Alenka Goljevšèek Kermauner ;1933;2017
Berta Golob ;1932;
Rudolf Golouh ;1887;1982
Borut Gombaè ;1962;
Vojko Gorjan ;1949;1975
Jurij Grabrijan ;1800;1882
Alojz Gradnik ;1882;1968
Niko Grafenauer ;1940;
Ivo Grahor ;1902;1944
Simon Gregorèiè ;1844;1906
Pankracij Gregorec ;1867;1920
"Sreèko Gregorc  ""Feliks""";1894;1972
Barbara Gregoriè Gorenc ;1964;
Lojze Grozde ;1923;1943
Dren Gruden;;
Igo Gruden ;1893;1948
Pavla Gruden ;1921;2014
Alfonz Gspan ;1904;1977
Lipe Haderlap ;1849;1896
Maja Haderlap ;1961;
Martina Hafnar Gorjanc ;1941;
Fabjan Hafner ;1966;2016
Gema Hafner ;1919;1996
Matjaž Hanžek ;1949;
Sergej Harlamov ;1989;
Milka Hartman ;1902;1997
Fany Hausmann ;1818;1853
Bogdana Herman ;1948;
Karlo Hmeljak ;1983;
Andrej Hoèevar ;1980;
Kristina Hoèevar ;1977;
Branko Hofman ;1929;1991
Metka Hojnik Verdev ;1959;
Andraš Horvat ;;
Stanka Hrastelj ;1975;
Anton Hribar ;1864;1953
Ivan Hribovšek ;1923;1945
Marko Hudnik ;1931;
Jurij Hudolin ;1973;
Sabina Hvastija ;1968;
Theodor Illek ;1984;
Alojz Ihan ;1961;
Jožef Iskraè ;1836;1900
Dragan Ignjiæ ;1992;
Jure Jakob ;1977;
Feruccio Jakomin ;1930;1958
Pavle Jakop ;1955;
Marjan Jakopiè ;1923;1978
Stanko Janežiè ;1920;2010
Gustav Januš ;1939;
Janez Juvan ;1936;2017
Jurij Japelj ;1744;1807
Miran Jarc ;1900;1942
Urban Jarnik ;1784;1844
"Jože Javoršek  ""Jože Brejc""";1920;1990
Zdravko Jelinèiè ;1921;1997
Simon Jenko ;1835;1869
Alenka Jenstrle Doležal ;1959;
Vida Jeraj ;1875;1932
Luka Jeran ;1818;1896
Marjetka Jeršek ;1961;
Dragotin Jesenko ;1864;1902
Milan Jesih ;1950;
Slavko Jug ;1934;1997
Vaclav Jarm ;1962;
Mila Kaèiè ;1912;2000
Borut Kardelj ;1941;1971
Janoš Kardoš ;1801;1873
Štefan Kardoš ;1966;
Alma Maksimiljana Karlin ;1889;1950
Miha Kastelic ;1796;1868
Nataša Kastelic ;1947;1991
Damjana Kenda Hussu;;
Jožef Kenda ;1859;1929
Aleš Kermavner ;1946;1966
Dragotin Kette ;1876;1899
Milan Kleè ;1954;
Jožef Klekl starejši ;1874;1948
Miha Klinar ;1922;1983
Anton Klodiè ;1836;1914
Mile Klopèiè ;1905;1984
Katja Klun ;1978;
Majda Kne ;1954;
Darja Knipliè;;
Pavel Knobl ;1765;1830
Fran Kobal ;1881;1937
Josip Kobal ;1870;1888
Dejan Koban ;1979;
Edvard Kocbek ;1904;1981
Matjaž Kocbek ;1946;2013
Karlo Kocjanèiè ;1901;1970
Marjanca Koèevar ;1947;
"Slavko Koèevar ""Slavko Jug""";1934;1997
Zdenko Kodriè ;1949;
Andrej Kokot ;1936;2012
Jana Kolariè ;1954;
Janez Kolenc ;1922;2014
Peter Kolšek ;1951;
Mirt Komel ;1980;
Miklavž Komelj ;1973;
Milèek Komelj ;1948;
Tjaša Koprivec ;1981;
Sonja Koranter ;1948;
Minka Korenèan ;1920;2009
Gregor Koritnik ;1886;1967
Barbara Korun ;1963;
Vladimir Kos ;1924;
Jovan Vesel Koseski ;1798;1884
France Kosmaè ;1922;1974
Sreèko Kosovel ;1904;1926
Stano Kosovel ;1895;1976
Peter Košak ;1943;1993
Jakob Košar ;1814;1846
Jožef Košiè ;1788;1867
Miroslav Košuta ;1936;
Mihael Kotsmar ;1698;1750
Juri Kous ;1776;1829
Jure Koviè ;1960;
Kajetan Koviè ;1931;2014
Barbara Kozak;;
Primož Kozak ;1929;1981
France Kozar ;1904;1944
Štefan Kozel ;;
Kristian Koželj ;1984;
Matej Krajnc ;1975;
Marija Krajnik ;1942;
Lojze Krakar ;1926;1995
"Andrej Kralj ""Guru""";1977;
Regina Kralj Jožeta Štucina;;
Tomaž Kralj ;1951;2000
Marijan Kramberger ;1938;2015
Taja Kramberger ;1970;
Naci Kranjec ;1916;1945
Marko Kravos ;1943;
Ivanka Kremžar ;1878;1954
Maruša Krese ;1947;2013
Jože Krivec ;1916;1991
Tomaš Križan ;;
Danica Križaniè Müller ;1950;
Rade Krstiæ ;1960;2018
Špela Kuclar ;1972;
Julius Kugy ;1858;1944
Tone Kuntner ;1943;
Martin Kuralt ;1757;1854
Robert Kuret ;1987;
Jernej Kusterle ;1987;
Meta Kušar ;1952;
Janoš Kühar ;1901;1987
Mikloš Küzmiè ;1737;1804
Štefan Küzmiè ;1723;1779
Feri Lainšèek ;1959;
Mara Lamut ;1884;1970
Mikloš Legen ;;
Ladislav Lesar ;1939;2011
Peter Levec ;1923;1999
Jernej Leviènik ;1808;1883
Jožef Leviènik ;1826;1909
Zlatka Levstek ;1944;
Fran Levstik ;1831;1887
Vladimir Levstik ;1886;1957
Anton Tomaž Linhart ;1756;1795
Dušan Lipovec ;1952;2005
Cvetka Lipuš ;1966;
Fran Loèniškar ;1885;1947
Zlatka Lokatos Obid ;;
Mihael Lotriè ;1937;
Joža Lovrenèiè ;1890;1952
Tom Ložar ;1944;
Dušan Ludvik ;1914;2001
Blaž Lukan ;1955;
Agošt Peter Lutariè ;1708;1751
France Magajna ;1895;1971
"Rudolf Maister ""Vojanov""";1874;1934
Sanko Majcen ;1888;1970
Svetlana Makaroviè ;1939;
Ana Makuc ;1982;
Franc Malavašiè ;1818;1863
Tatjana Malec ;1936;
Miroslav Malovrh ;1861;1922
Valentin Mandelc ;1837;1872
Franc Mariè ;1791;
Milan Markelj ;1946;
Marko Matièetov ;1984;
Neža Maurer ;1930;
Karel Mauser ;1918;1977
Blaž Mavrel ;1896;1972
Andrej Medved ;1947;
Anton Medved ;1869;1910
Vladimir Memon ;1953;1980
Janez Menart ;1929;2004
Janez Mencinger ;1838;1912
"Alojzij Merhar ""Silvin Sardenko""";1876;1942
Franc Merkaè ;1954;
Milena Merlak Detela ;1935;2006
Ace Mermolja ;1951;
Marija Mijot ;1902;1994
Nevenka Mikliè ;1982;
"Frane Milèinski ""Ježek""";1914;1988
Nana Milèinski ;1977;
Jolka Miliè ;1926;
Ivan Minatti ;1924;2012
Rudi Miškot ;1922;2007
Iztok Mlakar ;1961;
Vinko Möderndorfer ;1958;
Štefan Modrinjak ;1774;1827
Milena Mohoriè ;1905;1972
Vida Mokrin Paurer ;1961;
Vojeslav Mole ;1886;1973
Ivan Molek ;1882;1962
Mary Molek ;1909;1982
Jože Moškriè ;1909;1943
Brane Mozetiè ;1958;
Uroš Mozetiè ;1961;2016
Ludvik Mrzel ;1904;1971
Kristijan Muck ;1941;
Francek Mukiè ;1952;
Josip Murn Aleksandrov ;1879;1901
Erna Muser ;1912;1991
Aleš Mustar ;1968;
Bogdana Namestnik;;
Gabriel Nenèiè;;
Anton Novaèan ;1887;1951
Boris A. Novak ;1953;
David Novak ;;
Jožef Novak ;1896;1972
Jure Novak ;1980;
Novica Novakoviæ ;1965;
Lili Novy ;1885;1958
Zlatka Obid Lokatos/ Zlatka Obed ;1951;
Polde Oblak ;1924;1993
Mart Ogen ;1939;1998
Blaž Ogorevc ;1951;
Janez Okorn ;1901;1925
Jože Olaj ;1939;2008
Anton Oliban ;1824;1860
France Oniè ;1901;1975
Mihael Opeka ;1871;1938
Iztok Osojnik ;1951;
Nina Osredkar;;
Josip Osti ;1945;
Jani Oswald ;1957;
Vinko Ošlak ;1947;
Janez Ovsec ;1922;1989
Josip Pagliaruzzi ;1859;1885
Pavlina Pajk ;1854;1901
Rado Palir;;
France Papež ;1924;1996
Štefan Pauli ;1760;1829
Marko Pavèek ;1958;1979
Tone Pavèek ;1928;2011
Avgust Pavel ;1886;1946
Rudolf Peèjak ;1891;1940
Mojca Pelcar-Šarf ;1977;
Ivan Perhaj ;1933;2009
Ela Peroci ;1922;2001
Aleksander Peršolja ;1944;
Bruna Marija Pertot ;1937;
Luiza Pesjak ;1828;1898
Ruža Lucija Petelin ;1906;1974
Odon Peterka ;1925;1945
Radivoj Peterlin-Petruška ;1879;1938
Konrad Peternelj ;1936;2000
Borut Petroviè Vernikov ;1955;
Stane Pevec ;1935;
Zoran Pevec ;1955;
France Pibernik ;1928;
Matjaž Pikalo ;1963;
Miha Pintariè ;1963;
Štefan Pinter ;1831;1875
Bojan Pisk ;1933;2008
Klemen Pisk ;1973;
Lado Pišèanc ;1914;1944
Anton Podbevšek ;1898;1981
Gregor Podlogar ;1974;
"Josip Podmilšak ""Andrejèkov Jože""";1845;1874
Katarina Podnar ;1964;
Barbara Pogaènik ;1973;
Valentin Polanšek ;1928;1985
Tone Polda ;1917;1945
Andraž Poliè ;1972;
Ljudmila Poljanec ;1874;1948
Denis Poniž ;1948;
Marcello Potocco ;1974;
Blaž Potoènik ;1799;1872
Jure Potokar ;1956;
Leopold Povše ;1915;1997
Blaž Prapotnik ;1966;
Andrej Praprotnik ;1827;1895
Zoran Predin ;1958;
Aleksij Pregarc ;1936;
Ivan Pregelj ;1883;1960
France Prešeren ;1800;1849
Janez Primic ;1785;1823
Milan Pugelj ;1883;1929
Mira Puhar ;1938;
Marjan Pungartnik ;1948;
Jožef Pustai ;1864;1934
Jana Putrle Srdiæ ;1975;
Meta Rainer ;1904;1995
Karel Rakovec ;1917;1988
Janez Ramoveš ;1965;
Maja Razboršek ;1959;
Vesna Reènik Šiško ;1961;
Radivoj Rehar ;1894;1969
Izidor Rejc ;1936;
Vladimira Rejc ;1970;
Janez Remic ;1921;1945
Štefan Remic ;1953;
Primož Repar ;1967;
Filip Jakob Repež ;1706;1773
Ivan Rob ;1908;1943
Vinko Rode ;1932;
Tone Rode ;1969;
Andrej Rot ;1953;
Braco Rotar ;1942;
Andrej Rozman Roza ;1955;
Božidar Rozman ;1963;
Branko Rozman ;1925;2011
Gregor Rozman ;1974;
Branko Rudolf ;1904;1987
Franèek Rudolf ;1944;
Miran Rustja ;1957;
Walter Amigo Dragosavljeviæ Rutar ;1959;
Kantor-uèitelj Ružiè ;;
Zoran Rožiè ;1964;
Tatjana Sajovic ;1924;1945
Jožef Sakoviè ;1874;1930
Zora Saksida ;1921;
Ivan Janoš Salasegi;;
Smiljan Samec ;1912;1995
René Sansoni ;1985;
"Silvin Sardenko ""Alojzij Merhar""";1876;1942
Boštjan Seliškar ;1962;1983
Mojca Seliškar ;1947;
Tone Seliškar ;1900;1969
Peter Semoliè ;1967;
Brane Senegaènik ;1966;
Majda Senica Vujanoviè;;
Zdenka Serajnik ;1911;2003
Mihael Sever Vaneèaj ;1699;1750
Valentin Sever ;1903;1945
Franc Siezenheim ;1658;1714
Štefan Sijarto ;1765;1833
Zorko Simèiè ;1921;
Robert Simonišek ;1977;
Barbara Simoniti ;1963;
Dora Sirk por. Obljubek;1903;1999
Ivan Sivec ;1949;
Anton Martin Slomšek ;1800;1862
Jožef Smej ;1922;
Jožef Smodiš ;;
Štefan Smodiš ;1758;1799
Andrej Smrekar ;1868;1913
Jože Snoj ;1934;
Vid Snoj ;1965;
France Sodja ;1914;2007
Tatjana Soldo ;1962;1992
Vesna Spreitzer ;1975;
Valentin Staniè ;1774;1847
Jernej Stante ;1900;1966
Karel Starc ;1920;1944
Jožef Stefan ;1835;1893
Milenko Strašek ;1945;
Janez Strehovec ;1950;
Vladislav Stres ;1958;
Josip Stritar ;1836;1923
Vanja Strle ;1960;
Gregor Strniša ;1929;1987
Gustav Strniša ;1887;1970
Ivo Stropnik ;1966;
Ahacij Stržinar ;1676;1741
Lucija Stupica ;1971;
Luka Svetec ;1826;1921
Mihael Svetec;;
Ivo Svetina ;1948;
Janoš Šadl;;
Magda Šalamon ;1962;
Tomaž Šalamun ;1941;2014
Franc Šali ;1941;
Severin Šali ;1911;1992
Ivan Dragotin Šamperl ;1815;1836
Dragan Šanda ;1881;1963
Mitja Šarabon ;1922;1987
Franc Šbül ;1825;1864
Vanda Šega ;1959;
Tone Šifrer ;1911;1942
"Adolf Šinkovec ""Èrtomir""";1914;1983
Albert Širok ;1895;1985
Karel Širok ;1889;1942
Ada Škerl ;1924;2009
Tone Škrjanec ;1953;
Jože Šmit ;1922;2004
Makso Šnuderl ;1895;1979
Branko Šömen ;1936;
Ivo Šorli ;1877;1958
Ljubka Šorli ;1910;1993
Milena Šoukal ;1922;
Katja Špur ;1908;1991
Bina Štampe Žmavc ;1951;
Milan Štante ;1930;1999
Aleš Šteger ;1973;
Artur Štern ;1965;
Jože Štucin ;1955;
Kristina Šuler ;1866;1959
Adam Šuligoj ;1978;
Anèka Šumenjak ;1922;2018
Andrej Šuster ;1768;1825
Marija Švajncer ;1949;
Aleš Tacer ;1958;
Franc Talanji ;1883;1959
Anton Tanc ;1887;1947
Veno Taufer ;1933;
Vida Taufer ;1903;1966
Zora Tavèar ;1928;
Marjan Telatko ;1911;1960
Janoš Terboè ;1591;1650
Aleksander Terplan ;1816;1848
Jernej Terseglav;;
Lovro Toman ;1827;1870
Edo Torkar ;1952;
Igor Torkar ;1913;2004
Ana Trebežnik ;;
Ivan Trinko-Zamejski ;1863;1954
Andrej Trobentar ;1951;
Francka Tronkar;;
Ivan Tul ;1877;1959
Jovan Anton Turkuš ;1849;1912
"Josipina Turnograjska  ""Urbanèiè""";1833;1854
Jože Udoviè ;1912;1986
Vojteh Ullrich ;1862;1881
Jože Urbanija ;1894;1955
Bazilij Valentin ;1924;1997
Matija Valjavec ;1831;1897
Saša Vegri ;1934;2010
Maja Vidmar ;1961;
Tit Vidmar ;1929;1999
Danilo Viher ;1912;1971
Milan Vincetiè ;1957;2017
Cene Vipotnik ;1914;1972
Jani Virk ;1962;
Jožef Virk ;1810;1880
Rafko Vodeb ;1922;2002
Anton Vodnik ;1901;1965
France Vodnik ;1903;1986
Valentin Vodnik ;1758;1819
Jurij Vodovnik ;1791;1858
Božo Vodušek ;1905;1978
Herman Vogel ;1941;1989
Silvester Vogrinec ;1963;
"Ivan Volariè ""Feo""";1948;2010
Jože Volariè ;1932;2012
Zlata Volariè ;1930;2008
Renato Volker Rene ;1963;
Leopold Volkmer ;1741;1816
Erika Vouk ;1941;
Joža Vovk ;1911;1957
Toni Vovk ;1951;2004
Tomaž Vrabiè ;1954;
Stanko Vraz ;1810;1851
"Tomislav Vreèar ""Thompson""";;
Franci Zagoriènik ;1933;1997
Ifigenija Zagoriènik Simonoviæ ;1953;
Cvetko Zagorski ;1916;2006
Dane Zajc ;1929;2005
Fran Zakrajšek ;1835;1903
Kazimir Zakrajšek ;1878;1958
Jožef Zazula ;1870;1944
Fran Zbašnik ;1855;1935
Matija Zemljiè ;1873;1934
Pavle Zidar ;1932;1992
Jožef Zizenèeli ;1658;1714
Ciril Zlobec ;1925;2018
Jaša Zlobec ;1951;2011
Ksenija Zmagaj ;1961;
Janž Znojilšek ;1568;1659
Ivan Zoran ;1935;1999
Stane Zore ;1958;
Irena Zorko Novak ;1954;
Ivan Zorman ;1889;1957
Ludvik Zorzut ;1892;1977
Jakob Zupan ;1785;1852
John Zupan ;1875;1950
Tomo Zupan ;1839;1937
Uroš Zupan ;1963;
Vitomil Zupan ;1914;1987
Brane Zupanc ;1950;
Katka Zupanèiè ;1889;1967
Lara Zupanèiè ;1992;
Mirko Zupanèiè ;1925;2014
Vincenc Zusner ;1804;1874
Lojze Jože Žabkar ;1910;1983
Anton Žakelj ;1816;1868
Jaka Železnikar ;1971;
Jožef Žemlja ;1805;1843
Aldo Žerjal ;1957;
Irena Žerjal ;1940;2018
Joka Žigon ;1899;1983
Vinko Žitnik ;1903;1980
Andrej Žnidarèiè ;1835;1913
Asta Žnidaršiè ;1916;2006
Benjamin Žnidaršiè ;1959;
Marièka Žnidaršiè ;1914;1986
Jože Žohar ;1945;
Oton Županèiè ;1878;1949
Janoš Županek ;1861;1951
Mihael Županek ;1830;1905
Vilmoš Županek ;1897;1978
Branko Žužek ;1921;2001
